spieltag,team_H,team_A,goal_H,goal_A,goal_H_HT,goal_A_HT
"
                    9. Spieltag
                ",Hertha BSC ,Eintracht Frankfurt ,1,3,1,0
"
                    10. Spieltag
                ",Eintracht Braunschweig ,1. FC Köln ,1,1,1,1
"
                    10. Spieltag
                ",Meidericher SV ,Hamburger SV ,4,0,0,0
"
                    10. Spieltag
                ",1. FC Kaiserslautern ,VfB Stuttgart ,1,3,1,2
"
                    10. Spieltag
                ",Karlsruher SC ,Preußen Münster ,4,2,4,1
"
                    10. Spieltag
                ",1860 München ,1. FC Saarbrücken ,7,1,1,1
"
                    10. Spieltag
                ",Eintracht Frankfurt ,FC Schalke 04 ,4,2,1,1
"
                    10. Spieltag
                ",Werder Bremen ,Hertha BSC ,2,2,1,0
"
                    10. Spieltag
                ",Borussia Dortmund ,1. FC Nürnberg ,3,1,1,1
"
                    11. Spieltag
                ",Eintracht Braunschweig ,Meidericher SV ,0,0,0,0
"
                    11. Spieltag
                ",1. FC Köln ,Hamburger SV ,4,1,1,1
"
                    11. Spieltag
                ",VfB Stuttgart ,1. FC Nürnberg ,1,0,1,0
"
                    11. Spieltag
                ",1. FC Saarbrücken ,Preußen Münster ,1,1,1,1
"
                    11. Spieltag
                ",1860 München ,Karlsruher SC ,1,0,0,0
"
                    11. Spieltag
                ",Werder Bremen ,Eintracht Frankfurt ,4,1,2,1
"
                    11. Spieltag
                ",Borussia Dortmund ,1. FC Kaiserslautern ,9,3,5,1
"
                    11. Spieltag
                ",FC Schalke 04 ,Hertha BSC ,1,0,0,0
"
                    12. Spieltag
                ",1. FC Kaiserslautern ,Eintracht Braunschweig ,2,1,1,0
"
                    12. Spieltag
                ",Hamburger SV ,VfB Stuttgart ,1,1,0,1
"
                    12. Spieltag
                ",Meidericher SV ,Borussia Dortmund ,3,3,1,3
"
                    12. Spieltag
                ",1. FC Nürnberg ,1. FC Köln ,2,2,2,1
"
                    12. Spieltag
                ",Karlsruher SC ,Werder Bremen ,1,1,1,0
"
                    12. Spieltag
                ",Hertha BSC ,1. FC Saarbrücken ,3,2,1,2
"
                    12. Spieltag
                ",Preußen Münster ,FC Schalke 04 ,2,2,1,0
"
                    12. Spieltag
                ",Eintracht Frankfurt ,1860 München ,5,2,2,1
"
                    13. Spieltag
                ",1. FC Kaiserslautern ,Hamburger SV ,3,2,2,0
"
                    13. Spieltag
                ",1. FC Nürnberg ,Meidericher SV ,2,0,1,0
"
                    13. Spieltag
                ",Hertha BSC ,Karlsruher SC ,2,3,1,2
"
                    13. Spieltag
                ",VfB Stuttgart ,Eintracht Braunschweig ,5,0,3,0
"
                    13. Spieltag
                ",Eintracht Frankfurt ,Preußen Münster ,3,0,0,0
"
                    13. Spieltag
                ",Werder Bremen ,1. FC Saarbrücken ,0,3,0,1
"
                    13. Spieltag
                ",FC Schalke 04 ,1860 München ,2,1,2,0
"
                    13. Spieltag
                ",Borussia Dortmund ,1. FC Köln ,2,3,2,3
"
                    14. Spieltag
                ",Meidericher SV ,VfB Stuttgart ,3,0,1,0
"
                    14. Spieltag
                ",Preußen Münster ,Werder Bremen ,1,3,0,2
"
                    14. Spieltag
                ",Karlsruher SC ,FC Schalke 04 ,1,1,0,0
"
                    14. Spieltag
                ",1860 München ,Hertha BSC ,1,2,0,0
"
                    14. Spieltag
                ",1. FC Saarbrücken ,Eintracht Frankfurt ,0,4,0,2
"
                    14. Spieltag
                ",Eintracht Braunschweig ,1. FC Nürnberg ,2,0,0,0
"
                    14. Spieltag
                ",1. FC Köln ,1. FC Kaiserslautern ,5,1,1,0
"
                    14. Spieltag
                ",Hamburger SV ,Borussia Dortmund ,1,2,2,1
"
                    15. Spieltag
                ",Hamburger SV ,Borussia Dortmund ,0,1,1,1
"
                    15. Spieltag
                ",1. FC Kaiserslautern ,Meidericher SV ,0,0,3,2
"
                    15. Spieltag
                ",1. FC Nürnberg ,Hamburger SV ,1,1,0,3
"
                    15. Spieltag
                ",Eintracht Frankfurt ,Karlsruher SC ,0,1,4,1
"
                    15. Spieltag
                ",Werder Bremen ,1860 München ,1,1,4,1
"
                    15. Spieltag
                ",FC Schalke 04 ,1. FC Saarbrücken ,0,0,0,1
"
                    15. Spieltag
                ",VfB Stuttgart ,1. FC Köln ,0,0,2,0
"
                    15. Spieltag
                ",Hertha BSC ,Preußen Münster ,1,0,3,0
"
                    16. Spieltag
                ",Borussia Dortmund ,Eintracht Braunschweig ,1,0,5,0
"
                    16. Spieltag
                ",Hamburger SV ,Preußen Münster ,2,0,1,3
"
                    16. Spieltag
                ",1. FC Köln ,1. FC Saarbrücken ,1,3,2,0
"
                    16. Spieltag
                ",Meidericher SV ,Karlsruher SC ,2,0,1,1
"
                    16. Spieltag
                ",1. FC Kaiserslautern ,Eintracht Frankfurt ,1,1,2,3
"
                    16. Spieltag
                ",1. FC Nürnberg ,Hertha BSC ,2,2,4,3
"
                    16. Spieltag
                ",Borussia Dortmund ,Werder Bremen ,4,0,0,1
"
                    16. Spieltag
                ",Eintracht Braunschweig ,1860 München ,0,1,2,0
"
                    17. Spieltag
                ",VfB Stuttgart ,FC Schalke 04 ,1,0,0,2
"
                    17. Spieltag
                ",Preußen Münster ,Eintracht Braunschweig ,0,0,2,2
"
                    17. Spieltag
                ",Karlsruher SC ,1. FC Köln ,0,1,4,0
"
                    17. Spieltag
                ",FC Schalke 04 ,1. FC Kaiserslautern ,2,0,0,2
"
                    17. Spieltag
                ",Hertha BSC ,VfB Stuttgart ,0,0,6,1
